Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Burnley,Manchester United (Home) 09-12-2020,Leicester City (Away) 09-20-2020,Southampton (Home) 09-26-2020,Newcastle United (Away) 10-03-2020,West Bromwich Albion (Away) 10-17-2020,Tottenham Hotspur (Home) 10-24-2020,Chelsea (Home) 10-31-2020,Brighton & Hove Albion (Away) 11-07-2020,Crystal Palace (Home) 11-21-2020,Manchester City (Away) 11-28-2020,Everton (Home) 12-05-2020,Arsenal (Away) 12-12-2020,Aston Villa (Away) 12-15-2020,Wolverhampton Wanderers (Home) 12-19-2020,Leeds United (Away) 12-26-2020,Sheffield United (Home) 12-28-2020,Fulham (Home) 01-02-2021,Liverpool (Away) 01-13-2021,West Ham United (Away) 01-16-2021,Aston Villa (Home) 01-26-2021,Chelsea (Away) 01-30-2021,Manchester City (Home) 02-02-2021,Brighton & Hove Albion (Home) 02-06-2021,Crystal Palace (Away) 02-13-2021,West Bromwich Albion (Home) 02-20-2021,Tottenham Hotspur (Away) 02-27-2021,Arsenal (Home) 03-06-2021,Everton (Away) 03-13-2021,Leicester City (Home) 03-20-2021,Southampton (Away) 04-03-2021,Newcastle United (Home) 04-10-2021,Manchester United (Away) 04-17-2021,Wolverhampton Wanderers (Away) 04-24-2021,West Ham United (Home) 05-01-2021,Fulham (Away) 05-08-2021,Leeds United (Home) 05-11-2021,Liverpool (Home) 05-15-2021,Sheffield United (Away) 05-23-2021
Manchester United,Burnley (Away) 09-12-2020,Crystal Palace (Home) 09-19-2020,Brighton & Hove Albion (Away) 09-26-2020,Tottenham Hotspur (Home) 10-03-2020,Newcastle United (Away) 10-17-2020,Chelsea (Home) 10-24-2020,Arsenal (Home) 10-31-2020,Everton (Away) 11-07-2020,West Bromwich Albion (Home) 11-21-2020,Southampton (Away) 11-28-2020,West Ham United (Away) 12-05-2020,Manchester City (Home) 12-12-2020,Sheffield United (Away) 12-15-2020,Leeds United (Home) 12-19-2020,Leicester City (Away) 12-26-2020,Wolverhampton Wanderers (Home) 12-28-2020,Aston Villa (Home) 01-02-2021,Fulham (Away) 01-12-2021,Liverpool (Away) 01-16-2021,Sheffield United (Home) 01-26-2021,Arsenal (Away) 01-30-2021,Southampton (Home) 02-02-2021,Everton (Home) 02-06-2021,West Bromwich Albion (Away) 02-13-2021,Newcastle United (Home) 02-20-2021,Chelsea (Away) 02-27-2021,Manchester City (Away) 03-06-2021,West Ham United (Home) 03-13-2021,Crystal Palace (Away) 03-20-2021,Brighton & Hove Albion (Home) 04-03-2021,Tottenham Hotspur (Away) 04-10-2021,Burnley (Home) 04-17-2021,Leeds United (Away) 04-24-2021,Liverpool (Home) 05-01-2021,Aston Villa (Away) 05-08-2021,Leicester City (Home) 05-11-2021,Fulham (Home) 05-15-2021,Wolverhampton Wanderers (Away) 05-23-2021
Manchester City,Aston Villa (Home) 09-12-2020,Wolverhampton Wanderers (Away) 09-21-2020,Leicester City (Home) 09-27-2020,Leeds United (Away) 10-03-2020,Arsenal (Home) 10-17-2020,West Ham United (Away) 10-24-2020,Sheffield United (Away) 10-31-2020,Liverpool (Home) 11-07-2020,Tottenham Hotspur (Away) 11-21-2020,Burnley (Home) 11-28-2020,Fulham (Home) 12-05-2020,Manchester United (Away) 12-12-2020,West Bromwich Albion (Home) 12-16-2020,Southampton (Away) 12-19-2020,Newcastle United (Home) 12-26-2020,Everton (Away) 12-28-2020,Chelsea (Away) 01-02-2021,Brighton & Hove Albion (Home) 01-13-2021,Crystal Palace (Home) 01-16-2021,West Bromwich Albion (Away) 01-26-2021,Sheffield United (Home) 01-30-2021,Burnley (Away) 02-02-2021,Liverpool (Away) 02-06-2021,Tottenham Hotspur (Home) 02-13-2021,Arsenal (Away) 02-20-2021,West Ham United (Home) 02-27-2021,Manchester United (Home) 03-06-2021,Fulham (Away) 03-13-2021,Wolverhampton Wanderers (Home) 03-20-2021,Leicester City (Away) 04-03-2021,Leeds United (Home) 04-10-2021,Aston Villa (Away) 04-17-2021,Southampton (Home) 04-24-2021,Crystal Palace (Away) 05-01-2021,Chelsea (Home) 05-08-2021,Newcastle United (Away) 05-12-2021,Brighton & Hove Albion (Away) 05-15-2021,Everton (Home) 05-23-2021
Aston Villa,Manchester City (Away) 09-12-2020,Sheffield United (Home) 09-21-2020,Fulham (Away) 09-28-2020,Liverpool (Home) 10-03-2020,Leicester City (Away) 10-17-2020,Leeds United (Home) 10-24-2020,Southampton (Home) 10-31-2020,Arsenal (Away) 11-07-2020,Brighton & Hove Albion (Home) 11-21-2020,West Ham United (Away) 11-28-2020,Newcastle United (Home) 12-05-2020,Wolverhampton Wanderers (Away) 12-12-2020,Burnley (Home) 12-15-2020,West Bromwich Albion (Away) 12-19-2020,Crystal Palace (Home) 12-26-2020,Chelsea (Away) 12-28-2020,Manchester United (Away) 01-02-2021,Tottenham Hotspur (Home) 01-12-2021,Everton (Home) 01-16-2021,Burnley (Away) 01-26-2021,Southampton (Away) 01-30-2021,West Ham United (Home) 02-02-2021,Arsenal (Home) 02-06-2021,Brighton & Hove Albion (Away) 02-13-2021,Leicester City (Home) 02-20-2021,Leeds United (Away) 02-27-2021,Wolverhampton Wanderers (Home) 03-06-2021,Newcastle United (Away) 03-13-2021,Sheffield United (Away) 03-20-2021,Fulham (Home) 04-03-2021,Liverpool (Away) 04-10-2021,Manchester City (Home) 04-17-2021,West Bromwich Albion (Home) 04-24-2021,Everton (Away) 05-01-2021,Manchester United (Home) 05-08-2021,Crystal Palace (Away) 05-12-2021,Tottenham Hotspur (Away) 05-15-2021,Chelsea (Home) 05-23-2021
Fulham,Arsenal (Home) 09-12-2020,Leeds United (Away) 09-19-2020,Aston Villa (Home) 09-28-2020,Wolverhampton Wanderers (Away) 10-03-2020,Sheffield United (Away) 10-17-2020,Crystal Palace (Home) 10-24-2020,West Bromwich Albion (Home) 10-31-2020,West Ham United (Away) 11-07-2020,Everton (Home) 11-21-2020,Leicester City (Away) 11-28-2020,Manchester City (Away) 12-05-2020,Liverpool (Home) 12-12-2020,Brighton & Hove Albion (Home) 12-15-2020,Newcastle United (Away) 12-19-2020,Southampton (Home) 12-26-2020,Tottenham Hotspur (Away) 12-28-2020,Burnley (Away) 01-02-2021,Manchester United (Home) 01-12-2021,Chelsea (Home) 01-16-2021,Brighton & Hove Albion (Away) 01-26-2021,West Bromwich Albion (Away) 01-30-2021,Leicester City (Home) 02-02-2021,West Ham United (Home) 02-06-2021,Everton (Away) 02-13-2021,Sheffield United (Home) 02-20-2021,Crystal Palace (Away) 02-27-2021,Liverpool (Away) 03-06-2021,Manchester City (Home) 03-13-2021,Leeds United (Home) 03-20-2021,Aston Villa (Away) 04-03-2021,Wolverhampton Wanderers (Home) 04-10-2021,Arsenal (Away) 04-17-2021,Tottenham Hotspur (Home) 04-24-2021,Chelsea (Away) 05-01-2021,Burnley (Home) 05-08-2021,Southampton (Away) 05-12-2021,Manchester United (Away) 05-15-2021,Newcastle United (Home) 05-23-2021
Arsenal,Fulham (Away) 09-12-2020,West Ham United (Home) 09-19-2020,Liverpool (Away) 09-28-2020,Sheffield United (Home) 10-03-2020,Manchester City (Away) 10-17-2020,Leicester City (Home) 10-24-2020,Manchester United (Away) 10-31-2020,Aston Villa (Home) 11-07-2020,Leeds United (Away) 11-21-2020,Wolverhampton Wanderers (Home) 11-28-2020,Tottenham Hotspur (Away) 12-05-2020,Burnley (Home) 12-12-2020,Southampton (Home) 12-15-2020,Everton (Away) 12-19-2020,Chelsea (Home) 12-26-2020,Brighton & Hove Albion (Away) 12-28-2020,West Bromwich Albion (Away) 01-02-2021,Crystal Palace (Home) 01-12-2021,Newcastle United (Home) 01-16-2021,Southampton (Away) 01-27-2021,Manchester United (Home) 01-30-2021,Wolverhampton Wanderers (Away) 02-02-2021,Aston Villa (Away) 02-06-2021,Leeds United (Home) 02-13-2021,Manchester City (Home) 02-20-2021,Leicester City (Away) 02-27-2021,Burnley (Away) 03-06-2021,Tottenham Hotspur (Home) 03-13-2021,West Ham United (Away) 03-20-2021,Liverpool (Home) 04-03-2021,Sheffield United (Away) 04-10-2021,Fulham (Home) 04-17-2021,Everton (Home) 04-24-2021,Newcastle United (Away) 05-01-2021,West Bromwich Albion (Home) 05-08-2021,Chelsea (Away) 05-12-2021,Crystal Palace (Away) 05-15-2021,Brighton & Hove Albion (Home) 05-23-2021
Crystal Palace,Southampton (Home) 09-12-2020,Manchester United (Away) 09-19-2020,Everton (Home) 09-26-2020,Chelsea (Away) 10-03-2020,Brighton & Hove Albion (Home) 10-17-2020,Fulham (Away) 10-24-2020,Wolverhampton Wanderers (Away) 10-31-2020,Leeds United (Home) 11-07-2020,Burnley (Away) 11-21-2020,Newcastle United (Home) 11-28-2020,West Bromwich Albion (Away) 12-05-2020,Tottenham Hotspur (Home) 12-12-2020,West Ham United (Away) 12-15-2020,Liverpool (Home) 12-19-2020,Aston Villa (Away) 12-26-2020,Leicester City (Home) 12-28-2020,Sheffield United (Home) 01-02-2021,Arsenal (Away) 01-12-2021,Manchester City (Away) 01-16-2021,West Ham United (Home) 01-27-2021,Wolverhampton Wanderers (Home) 01-30-2021,Newcastle United (Away) 02-03-2021,Leeds United (Away) 02-06-2021,Burnley (Home) 02-13-2021,Brighton & Hove Albion (Away) 02-20-2021,Fulham (Home) 02-27-2021,Tottenham Hotspur (Away) 03-06-2021,West Bromwich Albion (Home) 03-13-2021,Manchester United (Home) 03-20-2021,Everton (Away) 04-03-2021,Chelsea (Home) 04-10-2021,Southampton (Away) 04-17-2021,Leicester City (Away) 04-24-2021,Manchester City (Home) 05-01-2021,Sheffield United (Away) 05-08-2021,Aston Villa (Home) 05-12-2021,Arsenal (Home) 05-15-2021,Liverpool (Away) 05-23-2021
Southampton,Crystal Palace (Away) 09-12-2020,Tottenham Hotspur (Home) 09-20-2020,Burnley (Away) 09-26-2020,West Bromwich Albion (Home) 10-03-2020,Chelsea (Away) 10-17-2020,Everton (Home) 10-24-2020,Aston Villa (Away) 10-31-2020,Newcastle United (Home) 11-07-2020,Wolverhampton Wanderers (Away) 11-21-2020,Manchester United (Home) 11-28-2020,Brighton & Hove Albion (Away) 12-05-2020,Sheffield United (Home) 12-12-2020,Arsenal (Away) 12-15-2020,Manchester City (Home) 12-19-2020,Fulham (Away) 12-26-2020,West Ham United (Home) 12-28-2020,Liverpool (Home) 01-02-2021,Leeds United (Away) 01-12-2021,Leicester City (Away) 01-16-2021,Arsenal (Home) 01-27-2021,Aston Villa (Home) 01-30-2021,Manchester United (Away) 02-02-2021,Newcastle United (Away) 02-06-2021,Wolverhampton Wanderers (Home) 02-13-2021,Chelsea (Home) 02-20-2021,Everton (Away) 02-27-2021,Sheffield United (Away) 03-06-2021,Brighton & Hove Albion (Home) 03-13-2021,Tottenham Hotspur (Away) 03-20-2021,Burnley (Home) 04-03-2021,West Bromwich Albion (Away) 04-10-2021,Crystal Palace (Home) 04-17-2021,Manchester City (Away) 04-24-2021,Leicester City (Home) 05-01-2021,Liverpool (Away) 05-08-2021,Fulham (Home) 05-12-2021,Leeds United (Home) 05-15-2021,West Ham United (Away) 05-23-2021
Liverpool,Leeds United (Home) 09-12-2020,Chelsea (Away) 09-20-2020,Arsenal (Home) 09-28-2020,Aston Villa (Away) 10-03-2020,Everton (Away) 10-17-2020,Sheffield United (Home) 10-24-2020,West Ham United (Home) 10-31-2020,Manchester City (Away) 11-07-2020,Leicester City (Home) 11-21-2020,Brighton & Hove Albion (Away) 11-28-2020,Wolverhampton Wanderers (Home) 12-05-2020,Fulham (Away) 12-12-2020,Tottenham Hotspur (Home) 12-16-2020,Crystal Palace (Away) 12-19-2020,West Bromwich Albion (Home) 12-26-2020,Newcastle United (Away) 12-28-2020,Southampton (Away) 01-02-2021,Burnley (Home) 01-13-2021,Manchester United (Home) 01-16-2021,Tottenham Hotspur (Away) 01-27-2021,West Ham United (Away) 01-30-2021,Brighton & Hove Albion (Home) 02-03-2021,Manchester City (Home) 02-06-2021,Leicester City (Away) 02-13-2021,Everton (Home) 02-20-2021,Sheffield United (Away) 02-27-2021,Fulham (Home) 03-06-2021,Wolverhampton Wanderers (Away) 03-13-2021,Chelsea (Home) 03-20-2021,Arsenal (Away) 04-03-2021,Aston Villa (Home) 04-10-2021,Leeds United (Away) 04-17-2021,Newcastle United (Home) 04-24-2021,Manchester United (Away) 05-01-2021,Southampton (Home) 05-08-2021,West Bromwich Albion (Away) 05-11-2021,Burnley (Away) 05-15-2021,Crystal Palace (Home) 05-23-2021
